MOVIE_ID,MOVIE_TITLE,RELEASE_YEAR,RELEASE_DATE
468,"My Own Private Idaho",1991,1991-02-01
470,"21 Grams",2003,2003-09-06
473,Pi,1998,1998-07-10
476,"Drugstore Cowboy",1989,1989-10-20
479,Shaft,2000,2000-06-15
483,"Wild at Heart",1990,1990-08-17
489,"Good Will Hunting",1997,1997-12-05
492,"Being John Malkovich",1999,1999-10-29
496,"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",2006,2006-11-01
497,"The Green Mile",1999,1999-12-10
500,"Reservoir Dogs",1992,1992-09-02
503,Poseidon,2006,2006-05-10
504,Monster,2003,2003-12-24
505,"Johnny Handsome",1989,1989-09-12
507,"Killing Zoe",1993,1993-10-01
508,"Love Actually",2003,2003-09-07
509,"Notting Hill",1999,1999-05-21
512,Scoop,2006,2006-07-27
522,"Ed Wood",1994,1994-09-27
524,Casino,1995,1995-11-22
525,"The Blues Brothers",1980,1980-06-16
526,Ladyhawke,1985,1985-03-27
533,"Wallace & Gromit: The Curse of the Were-Rabbit",2005,2005-09-04
534,"Terminator Salvation",2009,2009-05-20
535,Flashdance,1983,1983-04-14
544,"There's Something About Mary",1998,1998-07-15
546,Transamerica,2005,2005-12-23
547,"The Horse Whisperer",1998,1998-02-01
549,Basquiat,1996,1996-08-09
550,"Fight Club",1999,1999-10-15
553,Dogville,2003,2003-05-19
557,Spider-Man,2002,2002-05-01
558,"Spider-Man 2",2004,2004-06-25
559,"Spider-Man 3",2007,2007-05-01
561,Constantine,2005,2005-02-08
562,"Die Hard",1988,1988-07-15
563,"Starship Troopers",1997,1997-11-07
564,"The Mummy",1999,1999-04-16
565,"The Ring",2002,2002-10-18
568,"Apollo 13",1995,1995-06-30
577,"To Die For",1995,1995-09-22
579,"Jaws 2",1978,1978-06-16
580,"Jaws: The Revenge",1987,1987-07-17
581,"Dances with Wolves",1990,1990-03-30
582,"The Lives of Others",2006,2006-03-15
583,"Life of Brian",1979,1979-08-17
584,"2 Fast 2 Furious",2003,2003-06-05
585,"Monsters, Inc.",2001,2001-11-01
586,"Wag the Dog",1997,1997-12-25
587,"Big Fish",2003,2003-12-25
588,"Silent Hill",2006,2006-04-21
590,"The Hours",2002,2002-12-27
591,"The Da Vinci Code",2006,2006-05-17
594,"The Terminal",2004,2004-06-17
597,Titanic,1997,1997-11-18
598,"City of God",2002,2002-08-30
600,"Full Metal Jacket",1987,1987-06-26
601,"E.T. the Extra-Terrestrial",1982,1982-06-11
602,"Independence Day",1996,1996-06-25
603,"The Matrix",1999,1999-03-30
604,"The Matrix Reloaded",2003,2003-05-15
605,"The Matrix Revolutions",2003,2003-11-05
606,"Out of Africa",1985,1985-12-20
607,"Men in Black",1997,1997-07-02
608,"Men in Black II",2002,2002-07-03
609,Poltergeist,1982,1982-06-04
612,Munich,2005,2005-12-23
613,Downfall,2004,2004-09-16
615,"The Passion of the Christ",2004,2004-02-25
616,"The Last Samurai",2003,2003-12-05
617,"Wild Things",1998,1998-03-20
619,"The Bodyguard",1992,1992-11-25
620,Ghostbusters,1984,1984-06-08
621,Grease,1978,1978-07-07
622,"The Ninth Gate",1999,1999-08-25
623,"A Fish Called Wanda",1988,1988-07-15
625,"The Killing Fields",1984,1984-11-23
627,Trainspotting,1996,1996-02-23
628,"Interview with the Vampire",1994,1994-11-11
629,"The Usual Suspects",1995,1995-07-19
634,"Bridget Jones's Diary",2001,2001-04-13
635,"Angel Heart",1987,1987-03-06
637,"Life Is Beautiful",1997,1997-12-20
638,"Lost Highway",1997,1997-01-15
639,"When Harry Met Sally...",1989,1989-07-21
640,"Catch Me If You Can",2002,2002-12-16
641,"Requiem for a Dream",2000,2000-10-06
644,"A.I. Artificial Intelligence",2001,2001-06-29
650,"Boyz n the Hood",1991,1991-07-12
652,Troy,2004,2004-05-03
655,"Paris, Texas",1984,1984-08-23
663,"Saw IV",2007,2007-10-24
664,Twister,1996,1996-05-10
666,"Central Station",1998,1998-11-20
670,Oldboy,2003,2003-11-21
671,"Harry Potter and the Philosopher's Stone",2001,2001-11-16
672,"Harry Potter and the Chamber of Secrets",2002,2002-11-13
673,"Harry Potter and the Prisoner of Azkaban",2004,2004-05-31
674,"Harry Potter and the Goblet of Fire",2005,2005-11-16
675,"Harry Potter and the Order of the Phoenix",2007,2007-06-28
676,"Pearl Harbor",2001,2001-05-21
679,Aliens,1986,1986-07-18
680,"Pulp Fiction",1994,1994-09-10
686,Contact,1997,1997-07-11
687,"Dead Man Walking",1995,1995-12-29
688,"The Bridges of Madison County",1995,1995-05-28
691,"The Spy Who Loved Me",1977,1977-07-07
693,"Meet the Fockers",2004,2004-12-22
694,"The Shining",1980,1980-05-23
696,Manhattan,1979,1979-04-25
698,Moonraker,1979,1979-06-26
699,"For Your Eyes Only",1981,1981-06-24
700,Octopussy,1983,1983-06-05
703,"Annie Hall",1977,1977-04-19
707,"A View to a Kill",1985,1985-05-24
708,"The Living Daylights",1987,1987-06-29
709,"Licence to Kill",1989,1989-06-13
710,GoldenEye,1995,1995-11-16
711,"Finding Forrester",2000,2000-12-21
712,"Four Weddings and a Funeral",1994,1994-03-09
713,"The Piano",1993,1993-05-19
714,"Tomorrow Never Dies",1997,1997-12-11
744,"Top Gun",1986,1986-05-16
745,"The Sixth Sense",1999,1999-08-06
746,"The Last Emperor",1987,1987-10-04
747,"Shaun of the Dead",2004,2004-04-09
752,"V for Vendetta",2006,2006-02-23
754,Face/Off,1997,1997-06-27
755,"From Dusk Till Dawn",1996,1996-01-19
763,Braindead,1992,1992-08-13
764,"The Evil Dead",1981,1981-09-10
765,"Evil Dead II",1987,1987-03-13
766,"Army of Darkness",1992,1992-10-31
767,"Harry Potter and the Half-Blood Prince",2009,2009-07-07
768,"From Hell",2001,2001-02-08
769,GoodFellas,1990,1990-09-12
771,"Home Alone",1990,1990-11-16
772,"Home Alone 2: Lost in New York",1992,1992-11-19
773,"Little Miss Sunshine",2006,2006-07-26
782,Gattaca,1997,1997-09-07
783,Gandhi,1982,1982-11-30
784,Kolya,1996,1996-05-15
786,"Almost Famous",2000,2000-09-15
787,"Mr. & Mrs. Smith",2005,2005-06-07
788,"Mrs. Doubtfire",1993,1993-11-24
790,"The Fog",1980,1980-02-08
791,"The Fog",2005,2005-10-14
792,Platoon,1986,1986-12-19
793,"Blue Velvet",1986,1986-01-01
795,"City of Angels",1998,1998-04-10
796,"Cruel Intentions",1999,1999-03-05
801,"Good Morning, Vietnam",1987,1987-12-23
806,"The Omen",2006,2006-06-06
807,Se7en,1995,1995-09-22
808,Shrek,2001,2001-05-18
809,"Shrek 2",2004,2004-05-19
810,"Shrek the Third",2007,2007-05-17
812,Aladdin,1992,1992-11-25
813,Airplane!,1980,1980-07-02
814,"An American Werewolf in London",1981,1981-08-21
816,"Austin Powers: International Man of Mystery",1997,1997-05-02
817,"Austin Powers: The Spy Who Shagged Me",1999,1999-06-08
818,"Austin Powers in Goldmember",2002,2002-07-26
819,Sleepers,1996,1996-10-18
820,JFK,1991,1991-12-20
824,"Moulin Rouge!",2001,2001-05-24
825,"Playing by Heart",1998,1998-12-30
834,"Underworld: Evolution",2006,2006-01-12
837,Videodrome,1983,1983-02-04
840,"Close Encounters of the Third Kind",1977,1977-11-18
841,Dune,1984,1984-12-14
843,"In the Mood for Love",2000,2000-09-29
844,2046,2005,2005-04-04
846,"The X Files",1998,1998-06-19
847,Willow,1988,1988-05-20
848,Dragonslayer,1981,1981-06-26
849,Krull,1983,1983-07-29
850,"A Christmas Story",1983,1983-11-18
853,"Enemy at the Gates",2001,2001-03-14
854,"The Mask",1994,1994-07-29
855,"Black Hawk Down",2001,2001-12-28
856,"Who Framed Roger Rabbit",1988,1988-06-21
857,"Saving Private Ryan",1998,1998-07-24
858,"Sleepless in Seattle",1993,1993-06-24
859,"Dangerous Liaisons",1988,1988-12-21
860,WarGames,1983,1983-06-03
861,"Total Recall",1990,1990-06-01
862,"Toy Story",1995,1995-10-30
863,"Toy Story 2",1999,1999-10-30
864,"Cool Runnings",1993,1993-10-01
865,"The Running Man",1987,1987-11-13
866,"Finding Neverland",2004,2004-10-17
867,Sliver,1993,1993-05-21
868,Tsotsi,2005,2005-12-23
869,"Planet of the Apes",2001,2001-07-25
873,"The Color Purple",1985,1985-12-18
879,Hook,1991,1991-04-10
881,"A Few Good Men",1992,1992-12-11
888,"The Flintstones",1994,1994-05-26
889,"The Flintstones in Viva Rock Vegas",2000,2000-04-28
892,Delicatessen,1991,1991-04-17
902,"The City of Lost Children",1995,1995-08-17
913,"The Thomas Crown Affair",1999,1999-08-06
918,"Blind Date",1987,1987-03-27
920,Cars,2006,2006-06-08
921,"Cinderella Man",2005,2005-06-02
922,"Dead Man",1995,1995-12-23
923,"Dawn of the Dead",1978,1978-09-02
924,"Dawn of the Dead",2004,2004-03-19
925,"Do the Right Thing",1989,1989-06-14
926,"Galaxy Quest",1999,1999-12-25
927,Gremlins,1984,1984-06-07
928,"Gremlins 2: The New Batch",1990,1990-06-15
929,Godzilla,1998,1998-05-20
941,"Lethal Weapon",1987,1987-03-06
942,"Lethal Weapon 2",1989,1989-07-07
943,"Lethal Weapon 3",1992,1992-05-15
944,"Lethal Weapon 4",1998,1998-07-10
948,Halloween,1978,1978-10-24
949,Heat,1995,1995-12-15
950,"Ice Age: The Meltdown",2006,2006-03-29
951,"Kindergarten Cop",1990,1990-12-21
953,Madagascar,2005,2005-05-25
954,"Mission: Impossible",1996,1996-05-22
955,"Mission: Impossible II",2000,2000-05-24
956,"Mission: Impossible III",2006,2006-04-25
957,Spaceballs,1987,1987-06-24
978,"Seven Years in Tibet",1997,1997-09-12
979,Irreversible,2002,2002-05-22
985,Eraserhead,1977,1977-03-19
988,"The China Syndrome",1979,1979-03-16
1018,"Mulholland Drive",2001,2001-06-06
1024,"Heavenly Creatures",1994,1994-09-12
1049,Sommersby,1993,1993-02-05
1058,Breathless,1983,1983-05-13
1073,"Arlington Road",1999,1999-03-19
1088,"Whale Rider",2003,2003-01-30
1089,"Point Break",1991,1991-01-31
1090,"The Thirteenth Floor",1999,1999-04-16
1091,"The Thing",1982,1982-06-25
1103,"Escape from New York",1981,1981-05-23
1116,"The Wind That Shakes the Barley",2006,2006-03-23
1123,"Catch a Fire",2006,2006-10-27
1124,"The Prestige",2006,2006-10-19
1125,Dreamgirls,2006,2006-12-25
1164,Babel,2006,2006-09-08
1165,"The Queen",2006,2006-09-15
1213,"The Talented Mr. Ripley",1999,1999-12-25
1245,"The Remains of the Day",1993,1993-11-05
1246,"Rocky Balboa",2006,2006-12-20
1247,"The Good Shepherd",2006,2006-12-11
1248,"Hannibal Rising",2007,2007-02-06
1250,"Ghost Rider",2007,2007-01-15
1251,"Letters from Iwo Jima",2006,2006-12-19
1252,"Lonely Hearts",2006,2006-04-30
1255,"The Host",2006,2006-07-27
1259,"Notes on a Scandal",2006,2006-12-25
1262,"Stranger Than Fiction",2006,2006-09-09
1264,"The Wild Soccer Bunch 4",2007,2007-02-01
1265,"Bridge to Terabithia",2007,2007-02-15
1266,"Street Kings",2008,2008-04-10
1267,"Meet the Robinsons",2007,2007-03-23
1268,"Mr. Bean's Holiday",2007,2007-03-22
1271,300,2007,2007-03-07
1272,Sunshine,2007,2007-04-05
1273,TMNT,2007,2007-03-23
1278,"The Dreamers",2003,2003-09-01
1279,"Samaritan Girl",2004,2004-03-05
1281,Bean,1997,1997-07-03
1285,"Torrente 3: The Protector",2005,2005-09-30
1359,"American Psycho",2000,2000-04-13
1360,Frida,2002,2002-08-29
1365,"Monster's Ball",2001,2001-06-07
1367,"Rocky II",1979,1979-06-15
1368,"First Blood",1982,1982-10-22
1369,"Rambo: First Blood Part II",1985,1985-05-21
1370,"Rambo III",1988,1988-05-24
1371,"Rocky III",1982,1982-05-28
1372,"Blood Diamond",2006,2006-12-07
1374,"Rocky IV",1985,1985-11-21
1375,"Rocky V",1990,1990-11-16
1378,Shortbus,2006,2006-10-04
1379,"Lights in the Dusk",2006,2006-02-03
1380,"Gleaming the Cube",1989,1989-01-13
1381,"The Fountain",2006,2006-11-22
1389,"Out of Sight",1998,1998-06-26
1391,"Y Tu Mamá También",2001,2001-06-08
1392,"Born Into Brothels: Calcutta's Red Light Kids",2004,2004-12-08
1402,"The Pursuit of Happyness",2006,2006-12-14
1406,"City Slickers",1991,1991-06-07
1407,"La Vie en Rose",2007,2007-02-14
1408,"Cutthroat Island",1995,1995-12-22
1411,"The Rapture",1991,1991-10-04
1412,"sex, lies, and videotape",1989,1989-08-04
1415,"Party Monster",2003,2003-09-05
1417,"Pan's Labyrinth",2006,2006-10-10
1422,"The Departed",2006,2006-10-04
1427,"Perfume: The Story of a Murderer",2006,2006-09-13
1428,"Once Upon a Time in Mexico",2003,2003-09-11
1429,"25th Hour",2002,2002-12-19
1430,"Bowling for Columbine",2002,2002-10-09
1433,"The Devil's Backbone",2001,2001-04-20
1435,Tarnation,2003,2003-10-19
1439,"Anna and the King",1999,1999-12-16
1440,"Little Children",2006,2006-10-06
1441,"The Contract",2006,2006-04-05
1443,"The Virgin Suicides",1999,1999-12-31
1450,"Blood: The Last Vampire",2009,2009-04-02
1452,"Superman Returns",2006,2006-06-28
1487,Hellboy,2004,2004-04-02
1491,"The Illusionist",2006,2006-08-18
1492,"1492: Conquest of Paradise",1992,1992-10-09
1493,"Miss Congeniality",2000,2000-12-22
1494,"Curse of the Golden Flower",2006,2006-12-14
1495,"Kingdom of Heaven",2005,2005-05-03
1496,"Cool as Ice",1991,1991-10-18
1497,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",1991,1991-03-22
1498,"Teenage Mutant Ninja Turtles",1990,1990-03-30
1499,"Teenage Mutant Ninja Turtles III",1993,1993-03-17
1523,"The Last King of Scotland",2006,2006-01-12
1534,Pathfinder,2007,2007-01-11
1535,"Spy Game",2001,2001-11-18
1537,"Changing Lanes",2002,2002-04-07
1538,Collateral,2004,2004-08-04
1541,"Thelma & Louise",1991,1991-05-24
1542,"Office Space",1999,1999-02-19
1547,"The Lost Boys",1987,1987-07-31
1548,"Ghost World",2001,2001-07-20
1551,Flatliners,1990,1990-08-10
1552,Parenthood,1989,1989-07-31
1553,"The Beat That My Heart Skipped",2005,2005-03-16
1555,"The Spanish Apartment",2002,2002-06-19
1562,"28 Weeks Later",2007,2007-04-26
1571,"Live Free or Die Hard",2007,2007-06-20
1572,"Die Hard: With a Vengeance",1995,1995-05-19
1573,"Die Hard 2",1990,1990-07-02
1574,Chicago,2002,2002-12-10
1576,"Resident Evil",2002,2002-03-15
1577,"Resident Evil: Apocalypse",2004,2004-09-10
1578,"Raging Bull",1980,1980-11-14
1579,Apocalypto,2006,2006-12-07
1581,"The Holiday",2006,2006-12-08
1584,"School of Rock",2003,2003-10-03
1586,"Secret Window",2004,2004-03-12
1587,"What's Eating Gilbert Grape",1993,1993-12-17
1588,"Bring It On",2000,2000-08-25
1590,"Copying Beethoven",2006,2006-09-10
1592,"Primal Fear",1996,1996-03-06
1593,"Night at the Museum",2006,2006-12-20
1597,"Meet the Parents",2000,2000-10-06
1598,"Cape Fear",1991,1991-11-13
1607,"A Bronx Tale",1993,1993-09-14
1613,"The 51st State",2001,2001-12-07
1619,"The Way of the Gun",2000,2000-09-08
1620,Hitman,2007,2007-11-21
1621,"Trading Places",1983,1983-06-07
1623,Brubaker,1980,1980-06-20
1624,"Liar Liar",1997,1997-03-21
1630,"The People vs. Larry Flynt",1996,1996-12-25
1632,"Mississippi Burning",1988,1988-12-08
1633,"Fried Green Tomatoes",1991,1991-12-27
1634,"Free Willy",1993,1993-07-16
1635,"The Island",2005,2005-07-21
1636,Bedazzled,2000,2000-10-19
1637,Speed,1994,1994-06-09
1639,"Speed 2: Cruise Control",1997,1997-06-13
1640,Crash,2005,2005-05-06
1641,"Forces of Nature",1999,1999-03-12
1642,"The Net",1995,1995-07-28
1645,"A Time to Kill",1996,1996-07-24
1646,"Freedom Writers",2007,2007-01-05
1647,"The Recruit",2003,2003-01-31
1648,"Bill & Ted's Excellent Adventure",1989,1989-02-17
1656,"The Legend of Zorro",2005,2005-10-24
1666,"The Bridge",2006,2006-10-27
1667,"March of the Penguins",2005,2005-01-26
1669,"The Hunt for Red October",1990,1990-03-02
1677,Ray,2004,2004-10-29
1683,"The Reaping",2007,2007-04-05
1689,"Little Buddha",1993,1993-12-01
1690,Hostel,2005,2005-09-17
1691,"Hostel: Part II",2007,2007-06-08
1694,Re-Animator,1985,1985-10-18
1696,"The Devil's Rejects",2005,2005-07-22
1700,Misery,1990,1990-11-30
1701,"Con Air",1997,1997-06-05
1710,Copycat,1995,1995-05-03
1713,"Jungle Fever",1991,1991-06-07
1715,"The Cider House Rules",1999,1999-12-17
1717,"All the King's Men",2006,2006-09-10
1722,"Captain Corelli's Mandolin",2001,2001-04-18
1724,"The Incredible Hulk",2008,2008-06-12
1726,"Iron Man",2008,2008-04-30
1727,"Bird on a Wire",1990,1990-05-18
1729,"The Forbidden Kingdom",2008,2008-04-18
1730,"Inland Empire",2006,2006-09-06
1731,Helen,2009,2009-01-16
1734,"The Mummy Returns",2001,2001-05-04
1735,"The Mummy: Tomb of the Dragon Emperor",2008,2008-07-01
1738,Next,2007,2007-04-25
1770,"Michael Collins",1996,1996-10-25
1771,"Captain America: The First Avenger",2011,2011-07-22
1775,"Canadian Bacon",1995,1995-06-08
1777,"Fahrenheit 9/11",2004,2004-06-25
1779,"Roger & Me",1989,1989-09-01
1781,"An Inconvenient Truth",2006,2006-05-24
1788,Footloose,1984,1984-02-17
1791,"The Piano Teacher",2001,2001-09-05
1792,"Stuck on You",2003,2003-12-10
1807,Elephant,2003,2003-09-20
1809,"The Rules of Attraction",2002,2002-10-11
1812,Trick,1999,1999-07-23
1813,"The Devil's Advocate",1997,1997-10-17
1817,"Phone Booth",2003,2003-04-04
1819,"You, Me and Dupree",2006,2006-07-13
1824,"50 First Dates",2004,2004-02-13
1825,"Over the Top",1987,1987-02-13
1826,"Russian Dolls",2005,2005-06-15
1830,"Lord of War",2005,2005-09-16
